id,grade,subject,weekOf,instructionalWeek,status,sourceSheet,sourceRow,sourceText,reason,supportingDocuments
dcss-fy27-K-literacy-r10,K,Literacy,2026-08-03,1,partially_supported,KINDER,10,Get to know you activites | U1: Sessions 1-2 | ABC Boot Camp,The cited skill supports generated drafts; other references still need source detail or review.,Kinder ELA Pacing Calendar 2026-27
dcss-fy27-K-math-r10,K,Math,2026-08-03,1,needs_additional_source_material,KINDER,10,U1: K.GSR.8.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r10,K,Social Studies,2026-08-03,1,needs_additional_source_material,KINDER,10,SS1 SSKCG1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r11,K,Literacy,2026-08-10,2,needs_additional_source_material,KINDER,11,"Heggerty week 1 | U1: Sessions 3-7 | ABC Boot Camp, U1W1","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r11,K,Math,2026-08-10,2,partially_supported,KINDER,11,U1: K.GSR.8.2,The cited skill supports generated drafts; other references still need source detail or review.,Kinder Math Pacing Support
dcss-fy27-K-social-studies-r11,K,Social Studies,2026-08-10,2,partially_supported,KINDER,11,SS1 SSKCG1,The cited skill supports generated drafts; other references still need source detail or review.,Kinder Sci & SS Pacing Support
dcss-fy27-K-literacy-r12,K,Literacy,2026-08-17,3,needs_additional_source_material,KINDER,12,"Heggerty week 2 | U1: Sessions 8-12 | ABC Boot Camp, U1W2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r12,K,Math,2026-08-17,3,partially_supported,KINDER,12,U1: K.GSR.8.2,The cited skill supports generated drafts; other references still need source detail or review.,Kinder Math Pacing Support
dcss-fy27-K-social-studies-r12,K,Social Studies,2026-08-17,3,needs_additional_source_material,KINDER,12,SS1 SSKCG1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r13,K,Literacy,2026-08-24,4,needs_additional_source_material,KINDER,13,Heggerty week 3 | U1: Sessions 13-17 | Unit 1 Week 3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r13,K,Math,2026-08-24,4,needs_additional_source_material,KINDER,13,U1: K.GSR.8.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-social-studies-r13,K,Social Studies,2026-08-24,4,needs_additional_source_material,KINDER,13,SS1 SSKCG1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r16,K,Literacy,2026-08-31,5,partially_supported,KINDER,16,Heggerty week 4 | U1: Sessions 18-22 | U1W4,The cited skill supports generated drafts; other references still need source detail or review.,Kinder ELA Pacing Calendar 2026-27
dcss-fy27-K-math-r16,K,Math,2026-08-31,5,partially_supported,KINDER,16,U1: K.GSR.8.2,Cited skill supports draft questions; other references are not yet resolved.,Kinder Math Pacing Support | Kinder Math Pacing Support
dcss-fy27-K-science-r16,K,Science,2026-08-31,5,partially_supported,KINDER,16,Unit 1 SKE1,The cited skill supports generated drafts; other references still need source detail or review.,Kinder Sci & SS Pacing Support
dcss-fy27-K-literacy-r17,K,Literacy,2026-09-07,6,needs_additional_source_material,KINDER,17,Heggerty  week 5 | U1: Sessions 23-25 | U1W5,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r17,K,Math,2026-09-07,6,needs_additional_source_material,KINDER,17,U1: K.GSR.8.2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r17,K,Science,2026-09-07,6,needs_additional_source_material,KINDER,17,Unit 1 SKE1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r18,K,Literacy,2026-09-14,7,needs_additional_source_material,KINDER,18,"Heggerty  week 6
M.   T.    W.   TH.    F.  | U1: Sessions 26-30 | U1W6","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r18,K,Math,2026-09-14,7,needs_additional_source_material,KINDER,18,Unit 2 K.NR.1.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r18,K,Science,2026-09-14,7,needs_additional_source_material,KINDER,18,Unit 1 SKE1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r19,K,Literacy,2026-09-21,8,needs_additional_source_material,KINDER,19,"Heggerty  week 7
M.   T.    W.    TH.    F.  | U2: Sessions 1-5 | U2W1","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r19,K,Math,2026-09-21,8,needs_additional_source_material,KINDER,19,Unit 2 K.NR.1.3,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r19,K,Science,2026-09-21,8,needs_additional_source_material,KINDER,19,Unit 2 SKP2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r20,K,Literacy,2026-09-28,9,needs_additional_source_material,KINDER,20,"Heggerty  week 8
M.   T.    W.    TH.    F.  | U2: Sessions 6-10 | U2W2","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-math-r20,K,Math,2026-09-28,9,needs_additional_source_material,KINDER,20,Unit 2  K.GSR.8.1,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-science-r20,K,Science,2026-09-28,9,needs_additional_source_material,KINDER,20,Unit 2 SKP2,"Only codes, program references, topic labels or activities; no fully grounded question set yet.",
dcss-fy27-K-literacy-r23,K,Literacy,2026-10-05,10,needs_additional_source_material,KINDER,23,"Heggerty week 9
M.   T.    W.   TH.   F.  | U2: Sessions 11-15 | U2W3","Only codes, program references, topic labels or activities; no fully grounded question set yet.",
